Run ID,Type,Angle,Intensity
Skewed Gaussian,Y Angle,-44.5455,0.548021
Skewed Gaussian,Y Angle,-42.7273,0.731846
Skewed Gaussian,Y Angle,-40.9091,0.969288
Skewed Gaussian,Y Angle,-39.0909,1.2732
Skewed Gaussian,Y Angle,-37.2727,1.65864
Skewed Gaussian,Y Angle,-35.4545,2.14297
Skewed Gaussian,Y Angle,-33.6364,2.74595
Skewed Gaussian,Y Angle,-31.8182,3.48964
Skewed Gaussian,Y Angle,-30,4.39823
Skewed Gaussian,Y Angle,-28.1818,5.49778
Skewed Gaussian,Y Angle,-26.3636,6.81564
Skewed Gaussian,Y Angle,-24.5455,8.37986
Skewed Gaussian,Y Angle,-22.7273,10.2183
Skewed Gaussian,Y Angle,-20.9091,12.3575
Skewed Gaussian,Y Angle,-19.0909,14.8215
Skewed Gaussian,Y Angle,-17.2727,17.6305
Skewed Gaussian,Y Angle,-15.4545,20.7994
Skewed Gaussian,Y Angle,-13.6364,24.3358
Skewed Gaussian,Y Angle,-11.8182,28.2391
Skewed Gaussian,Y Angle,-10,32.4988
Skewed Gaussian,Y Angle,-8.18182,37.0932
Skewed Gaussian,Y Angle,-6.36364,41.9887
Skewed Gaussian,Y Angle,-4.54545,47.1392
Skewed Gaussian,Y Angle,-2.72727,52.4858
Skewed Gaussian,Y Angle,-0.909091,57.9578
Skewed Gaussian,Y Angle,0.909091,63.4736
Skewed Gaussian,Y Angle,2.72727,68.9423
Skewed Gaussian,Y Angle,4.54545,74.2657
Skewed Gaussian,Y Angle,6.36364,79.3418
Skewed Gaussian,Y Angle,8.18182,84.0672
Skewed Gaussian,Y Angle,10,88.3409
Skewed Gaussian,Y Angle,11.8182,92.0678
Skewed Gaussian,Y Angle,13.6364,95.1623
Skewed Gaussian,Y Angle,15.4545,97.5511
Skewed Gaussian,Y Angle,17.2727,99.177
Skewed Gaussian,Y Angle,19.0909,100
Skewed Gaussian,Y Angle,20.9091,100
Skewed Gaussian,Y Angle,22.7273,99.177
Skewed Gaussian,Y Angle,24.5455,97.5511
Skewed Gaussian,Y Angle,26.3636,95.1623
Skewed Gaussian,Y Angle,28.1818,92.0678
Skewed Gaussian,Y Angle,30,88.3409
Skewed Gaussian,Y Angle,31.8182,84.0672
Skewed Gaussian,Y Angle,33.6364,79.3418
Skewed Gaussian,Y Angle,35.4545,74.2657
Skewed Gaussian,Y Angle,37.2727,68.9423
Skewed Gaussian,Y Angle,39.0909,63.4736
Skewed Gaussian,Y Angle,40.9091,57.9578
Skewed Gaussian,Y Angle,42.7273,52.4858
Skewed Gaussian,Y Angle,44.5455,47.1392
Skewed Gaussian,Y Angle,46.3636,41.9887
Skewed Gaussian,Y Angle,48.1818,37.0932
Skewed Gaussian,Y Angle,50,32.4988
Skewed Gaussian,Y Angle,51.8182,28.2391
Skewed Gaussian,Y Angle,53.6364,24.3358
Skewed Gaussian,Y Angle,55.4545,20.7994
Skewed Gaussian,Y Angle,57.2727,17.6305
Skewed Gaussian,Y Angle,59.0909,14.8215
Skewed Gaussian,Y Angle,60.9091,12.3575
Skewed Gaussian,Y Angle,62.7273,10.2183
Skewed Gaussian,Y Angle,64.5455,8.37986
Skewed Gaussian,Y Angle,66.3636,6.81564
Skewed Gaussian,Y Angle,68.1818,5.49778
Skewed Gaussian,Y Angle,70,4.39823
Skewed Gaussian,Y Angle,71.8182,3.48964
Skewed Gaussian,Y Angle,73.6364,2.74595
Skewed Gaussian,Y Angle,75.4545,2.14297
Skewed Gaussian,Y Angle,77.2727,1.65864
Skewed Gaussian,Y Angle,79.0909,1.2732
Skewed Gaussian,Y Angle,80.9091,0.969288
Skewed Gaussian,Y Angle,82.7273,0.731846
Skewed Gaussian,Y Angle,84.5455,0.548021
Skewed Gaussian,Y Angle,86.3636,0.406992
Skewed Gaussian,Y Angle,88.1818,0.299768
Skewed Gaussian,Y Angle,90,0.218975
Skewed Gaussian 2,X Angle,-90,0.218975
Skewed Gaussian 2,X Angle,-88.1818,0.299768
Skewed Gaussian 2,X Angle,-86.3636,0.406992
Skewed Gaussian 2,X Angle,-84.5455,0.548021
Skewed Gaussian 2,X Angle,-82.7273,0.731846
Skewed Gaussian 2,X Angle,-80.9091,0.969288
Skewed Gaussian 2,X Angle,-79.0909,1.2732
Skewed Gaussian 2,X Angle,-77.2727,1.65864
Skewed Gaussian 2,X Angle,-75.4545,2.14297
Skewed Gaussian 2,X Angle,-73.6364,2.74595
Skewed Gaussian 2,X Angle,-71.8182,3.48964
Skewed Gaussian 2,X Angle,-70,4.39823
Skewed Gaussian 2,X Angle,-68.1818,5.49778
Skewed Gaussian 2,X Angle,-66.3636,6.81564
Skewed Gaussian 2,X Angle,-64.5455,8.37986
Skewed Gaussian 2,X Angle,-62.7273,10.2183
Skewed Gaussian 2,X Angle,-60.9091,12.3575
Skewed Gaussian 2,X Angle,-59.0909,14.8215
Skewed Gaussian 2,X Angle,-57.2727,17.6305
